2026-02-25 22:50:30.857 | INFO     | main:<module>:54 - Rebuilding Pydantic schemas...
2026-02-25 22:50:30.858 | INFO     | main:<module>:59 - ✓ Pydantic schemas rebuilt successfully
2026-02-25 22:50:31.342 | INFO     | logging:callHandlers:1736 - Started server process [17381]
2026-02-25 22:50:31.348 | INFO     | logging:callHandlers:1736 - Waiting for application startup.
2026-02-25 22:50:31.354 | INFO     | main:on_startup:133 - ============================================================
2026-02-25 22:50:31.354 | INFO     | main:on_startup:134 - APPLICATION STARTING UP
2026-02-25 22:50:31.355 | INFO     | main:on_startup:135 - ============================================================
2026-02-25 22:50:31.356 | INFO     | main:on_startup:155 - ℹ️  REDIS_URL not configured - using in-memory cache
2026-02-25 22:50:31.356 | INFO     | logging:callHandlers:1736 - ✓ In-memory cache initialized (maxsize=10000, default_ttl=300s)
2026-02-25 22:50:39.596 | INFO     | main:on_startup:170 - ✓ Database connected: defaultdb at 94.237.82.215:26296
2026-02-25 22:50:40.156 | INFO     | main:on_startup:174 - ✓ Connection pool initialized: {'size': 20, 'checked_in': 1, 'checked_out': 0, 'overflow': -19, 'total_connections': 1}
2026-02-25 22:50:40.158 | INFO     | main:on_startup:179 - Starting SUPER_ADMIN bootstrap process...
2026-02-25 22:50:41.217 | INFO     | main:on_startup:186 - ✓ SUPER_ADMIN bootstrap completed
2026-02-25 22:50:41.399 | INFO     | main:on_startup:197 - Initializing Financial Advisor Scheduler...
2026-02-25 22:50:41.399 | INFO     | logging:callHandlers:1736 - Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-02-25 22:50:41.400 | INFO     | logging:callHandlers:1736 - Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-02-25 22:50:41.400 | INFO     | logging:callHandlers:1736 - Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-02-25 22:50:41.401 | INFO     | logging:callHandlers:1736 - Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-02-25 22:50:41.402 | INFO     | logging:callHandlers:1736 - Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-02-25 22:50:41.403 | INFO     | logging:callHandlers:1736 - Adding job tentatively -- it will be properly scheduled when the scheduler starts
